id,sku,name,en description,,es description
1132,JSLT38304S,Handrail Tube,"<p>304 Grade Satin Polished &oslash;38mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;38mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1124,JSLT42304S,Handrail Tube,"<p>304 Grade Satin Polished &oslash;42.4mm x 2mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;42.4mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1125,JSLT51304S,Handrail Tube,"<p>304 Grade Satin Polished &oslash;51mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;51mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
3051,JSJ09,Automatic Fire Door Keep Clear Sign,"<p>304 Grade Stainless Steel ""Automatic Fire Door Keep Clear"" Door Sign.</p>
<p>This satin polished sign is perfect for fire doors.</p>
<p>If you require a sign with a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
3050,JSJ08,Fire Door Keep Locked Shut Sign,"<p>304 Grade Stainless Steel ""Fire Door Keep Locked"" Door Sign.</p>
<p>This satin polished sign is perfect for fire doors.</p>
<p>If you require a sign with a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
3049,JSJ07,Fire Door Keep Shut Sign,"<p>304 Grade Stainless Steel ""Fire Door Keep Shut"" Door Sign.</p>
<p>This satin polished sign is perfect for fire doors.</p>
<p>If you require a sign with a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
3047,JSJ05,Baby Change Symbol Sign,"<p>304 Grade Stainless Steel Baby Change Door Sign.</p>
<p>This satin polished sign is perfect for toilets.</p>
<p>If you require a sign with a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
407,JSNB01,No.3 Bead Chain,<p>304 Grade Stainless Steel Bead Chain</p><p>Great for use in jewellery or decorative purposes.<br />Purchase by the metre.</p><p><strong>Please note that this product has not been load tested</strong></p>,,
529,JSPK01,Block Hinge,<p>304 Grade Stainless Steel Block Hinge with 6mm Pin.</p> <p>These 2 part hinges are great for external doors or hatches. The parts separate from each other for easy removal or can be rotated to prevent removing of the door/hatch</p><p><strong>Please note that this product has not been load tested</strong></p>,,
530,JSPK02,Block Hinge,<p>304 Grade Stainless Steel Block Hinge with 8mm Pin.</p> <p>These 2 part hinges are great for external doors or hatches. The parts separate from each other for easy removal or can be rotated to prevent removing of the door/hatch</p><p><strong>Please note that this product has not been load tested</strong></p>,,
3370,JS-DF15S,Circular Cylinder Door Pull,"<p>304 Grade Stainless Steel Circular Cylinder Door Pull.</p>
<p>Used on doors in conjunction with a cylinder to pull a door shut</p>",,
409,JSNB03,No.3 Bead Chain Connector,<p>304 Grade Stainless Steel Connector for our Bead Chain</p><p>Great for use in jewellery or decorative purposes.</p><p><strong>Please note that this product has not been load tested</strong></p>,,
3045,JSJ03,Disabled Symbol Sign,"<p>304 Grade Stainless Steel Disabled Symbol Door Sign.</p>
<p>This satin polished sign is perfect for toilets.</p>
<p>If you require a sign with a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
432,JSND01,Double Loop Chain,"<p>304 Grade Stainless Steel Double Loop Chain.</p> <p>A great general utility chain for many applications such a chair swings, animal leashes or light fittings.</p> <p><strong>Please note that this chain has not been load tested</strong></p>",,
3374,JS-DF17S,Euro Profile Cylinder Door Pull,"<p>304 Grade Stainless Steel Euro Profile Cylinder Door Pull.</p>
<p>Used on doors in conjunction with a Euro cylinder to pull a door shut</p>",,
3044,JSJ02,Female Symbol Sign,"<p>304 Grade Stainless Steel Female Symbol Door Sign.</p>
<p>This satin polished sign is perfect for toilets.</p>
<p>If you require a sign with a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
473,JSNT08,Flat Twist Link Chain,<p>304 Grade Stainless Steel Flat Twist Link Chain</p> <p>The twist link chain is commonly used as dog leads or safety chains. The twists help the chain to lay flatter than conventional long or short link chain</p><p><strong>Please note that this product hasn't been load tested</strong></p>,,
3054,JSJL01,Letters A-Z,"<p>304 Grade Stainless Steel Letters A-Z.</p>
<p>This satin polished numbers are perfect for doors, walls or signs.</p>
<p>If you require a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
542,JSPL06L,4 Inch Lift Off Hinge - Left-hand,<p>304 Grade Stainless Steel Lift Off Hinge - Left Hand. Also known as detachable or Loose Joint hinges.</p> <p>Lift off hinges allow you to easily remove a door from any piece of furniture after installation.</p> <p>Right hand also available</p>,,
532,JSPL01L,Lift Off Hinge - Left-hand,<p>304 Grade Stainless Steel Lift Off Hinge - Left Hand. Also known as detachable or Loose Joint hinges.</p> <p>Lift off hinges allow you to easily remove a door from any piece of furniture after installation.</p> <p>Right hand also available</p><p><strong>Please note that this product has not been load tested</strong></p>,,
497,JSPB23L,Lift Off Hinge - Left-hand,<p>304 Grade Stainless Steel Lift Off Hinge - Left Hand. Also known as detachable or Loose Joint hinges.</p> <p>Lift off hinges allow you to easily remove a door from any piece of furniture after installation.</p> <p>Right hand also available</p><p><strong>Please note that this product hasn't been load tested</strong></p>,,
541,JSPL05R,4 Inch Lift Off Hinge - Right-hand,<p>304 Grade Stainless Steel Lift Off Hinge - Right Hand. Also known as detachable or Loose Joint hinges.</p> <p>Lift off hinges allow you to easily remove a door from any piece of furniture after installation.</p> <p>Left hand also available</p>,,
533,JSPL01R,Lift Off Hinge - Right-hand,<p>304 Grade Stainless Steel Lift Off Hinge - Right Hand. Also known as detachable or Loose Joint hinges.</p> <p>Lift off hinges allow you to easily remove a door from any piece of furniture after installation.</p> <p>Left hand also available</p><p><strong>Please note that this product has not been load tested</strong></p>,,
498,JSPB23R,Lift Off Hinge - Right-hand,<p>304 Grade Stainless Steel Lift Off Hinge - Right Hand. Also known as detachable or Loose Joint hinges.</p> <p>Lift off hinges allow you to easily remove a door from any piece of furniture after installation.</p> <p>Left hand also available</p><p><strong>Please note that this product hasn't been load tested</strong></p>,,
1354,JS2M20,Machined Pin,"<p>304 Grade Stainless Steel Machined Pin.</p>
<p><strong>Please note that this product has not been load tested</strong></p>",,
3043,JSJ01,Male Symbol Sign,"<p>304 Grade Stainless Steel Male Symbol Door Sign.</p>
<p>This satin polished sign is perfect for toilets.</p>
<p>If you require a sign with a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
3052,JSJN01,Numerals 0-9,"<p>304 Grade Stainless Steel Numerals 0-9.</p>
<p>This satin polished numbers are perfect for doors, walls or signs.</p>
<p>If you require a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
3376,JS-DF18S,Oval Cut Out Cylinder Door Pull,"<p>304 Grade Stainless Steel Oval Cut Out Cylinder Door Pull.</p>
<p>Used on doors in conjunction with a cylinder to pull a door shut</p>",,
550,JSPL10L,4 Inch Rising Lift Off Hinge - Left-hand,<p>304 Grade Stainless Steel Rising Lift Off Hinge - Left Hand. Also known as detachable or Loose Joint hinges.</p> <p>Lift off hinges allow you to easily remove a door from any piece of furniture after installation.</p> <p>Right hand also available</p>,,
551,JSPL10R,4 Inch Rising Lift Off Hinge - Right-hand,<p>304 Grade Stainless Steel Rising Lift Off Hinge - Right Hand. Also known as detachable or Loose Joint hinges.</p> <p>Lift off hinges allow you to easily remove a door from any piece of furniture after installation.</p> <p>Left hand also available</p>,,
463,JSNS10,Short Link Chain,"<p>304 Grade Stainless Steel Short Link Chain. This chain has not been load tested.</p><p>This item is sold per metre, please select the quantity you like.<br>We wouldn't be able to refund any chain that has been cut to length</p><p><strong>Please note that this product hasn't been load tested</strong></p>",,
3048,JSJ06,Shower Symbol Sign,"<p>304 Grade Stainless Steel Shower Door Sign.</p>
<p>This satin polished sign is perfect for toilets or bathrooms.</p>
<p>If you require a sign with a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
3372,JS-DF16S,Standard Key Way Cylinder Door Pull,"<p>304 Grade Stainless Steel Standard Key Way Cylinder Door Pull.</p>
<p>Used on doors in conjunction with a mortice lock to pull a door shut</p>",,
466,JSNT01,Twist Link Chain,<p>304 Grade Stainless Steel Twist Link Chain</p> <p>The twist link chain is commonly used as dog leads or safety chains. The twists help the chain to lay flatter than conventional long or short link chain</p> <p><strong>Please note that this chain has not been load tested</p>,,
3046,JSJ04,Unisex Symbol Sign,"<p>304 Grade Stainless Steel Unisex Symbol Door Sign.</p>
<p>This satin polished sign is perfect for toilets.</p>
<p>If you require a sign with a different symbol or text please email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Sign%20Enquiry"" target=""_top"">sales@metalhardware.co.uk</a></p>",,
11703,JSSMP01,Stainless Mirror Handrail Tube,"<p>304 Grade Super Mirror Polished Stainless Steel &oslash;5/8"" x 1.5mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
344,JSK22,Folding Pad Eye,<p>304 Mirror Polished Stainless Steel Folding Pad Eye.</p> <p>This pad eye is great for locations where temporary loops are needed as it fold down to decrease how far it stands out from a wall.</p> <p>With 3 countersunk holes you can fix this pad eye to most surfaces</p>,,
346,JSK24,Folding Pad Eye,<p>304 Mirror Polished Stainless Steel Folding Pad Eye.</p> <p>This pad eye is great for locations where temporary loops are needed as it fold down to decrease how far it stands out from a wall.</p><p>With 3 countersunk holes you can fix this pad eye to most surfaces</p>,,
11738,JSSMP36,Stainless Oval Tube,<p>316 Grade Descaled Stainless Steel 89.75mm x 59.5mm x 3mm Oval Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>,,
1123,JSLT25316M,Handrail Tube,"<p>316 Grade Mirror Polished &oslash;25.4mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;25.4mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1134,JSLT38316M,Handrail Tube,"<p>316 Grade Mirror Polished &oslash;38mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;38mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1135,JSLT42316M,Handrail Tube,"<p>316 Grade Mirror Polished &oslash;42.4mm x 2mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;42.4mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1128,JSLT51316M,Handrail Tube,"<p>316 Grade Mirror Polished &oslash;51mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;51mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11713,JSSMP11,Stainless Mirror Handrail Tube,<p>316 Grade Mirror Stainless Steel &oslash;42.4mm x 2.5mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>,,
11736,JSSMP34,Stainless Mirror Flat,"<p>316 Grade Mirror Stainless Steel 10mm x 10mm Strips</p><p>If you cannot find the strip size or finish you're looking for please let us know and we're able to cut strips at most sizes, email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Strip%20Enquiry"">sales@metalhardware.co.uk</a></p>",,
11737,JSSMP35,Stainless Mirror Square Box,"<p>316 Grade Mirror Stainless Steel 20mm x 20mm x 1.5mm Square Box</p><p>If you cannot find the strip size or finish you're looking for please let us know and we're able to cut strips at most sizes, email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Strip%20Enquiry"">sales@metalhardware.co.uk</a></p>",,
11735,JSSMP33,Stainless Mirror Flat,"<p>316 Grade Mirror Stainless Steel 6mm x 6mm Strips</p><p>If you cannot find the strip size or finish you're looking for please let us know and we're able to cut strips at most sizes, email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Strip%20Enquiry"">sales@metalhardware.co.uk</a></p>",,
11734,JSSMP32,Stainless Mirror Flat,"<p>316 Grade Polished 2 Faces Stainless Steel 25mm x 10mm Strips</p><p>If you cannot find the strip size or finish you're looking for please let us know and we're able to cut strips at most sizes, email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Strip%20Enquiry"">sales@metalhardware.co.uk</a></p>",,
11732,JSSMP30,Stainless Mirror Flat,"<p>316 Grade Polished 2 Faces Stainless Steel 40mm x 5mm Strips</p><p>If you cannot find the strip size or finish you're looking for please let us know and we're able to cut strips at most sizes, email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Strip%20Enquiry"">sales@metalhardware.co.uk</a></p>",,
11733,JSSMP31,Stainless Mirror Flat,"<p>316 Grade Polished 4 Faces Stainless Steel 75mm x 5mm Strips</p><p>If you cannot find the strip size or finish you're looking for please let us know and we're able to cut strips at most sizes, email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Strip%20Enquiry"">sales@metalhardware.co.uk</a></p>",,
1129,JSLT25316S,Handrail Tube,"<p>316 Grade Satin Polished &oslash;25.4mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;25.4mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1122,JSLT38316S,Handrail Tube,"<p>316 Grade Satin Polished &oslash;38mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;38mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1127,JSLT42316S,Handrail Tube,"<p>316 Grade Satin Polished &oslash;42.4mm x 2mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;42.4mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
1126,JSLT51316S,Handrail Tube,"<p>316 Grade Satin Polished &oslash;51mm x 1.5mm Stainless Steel handrail tube.</p>
<p>This tube is to suit our &oslash;51mm handrail parts.</p>
<p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11731,JSSMP29,Stainless Mirror Flat,"<p>316 Grade SMP 1 Face / Bright Polished 2 Edges Stainless Steel 40mm x 12mm Strips</p><p>If you cannot find the strip size or finish you're looking for please let us know and we're able to cut strips at most sizes, email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Strip%20Enquiry"">sales@metalhardware.co.uk</a></p>",,
11707,JSSMP05,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;1 1/2"" x 1.6mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11708,JSSMP06,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;1 1/2"" x 2mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11706,JSSMP04,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;1 1/4"" x 1.5mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11705,JSSMP03,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;1"" x 1.6mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11723,JSSMP21,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;129mm x 2mm Handrail Tube</p><p>If you cannot find the Tube size you're looking for please let us know, email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Tube%20Enquiry"">sales@metalhardware.co.uk</a></p>",,
11729,JSSMP27,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;154mm x 2mm Handrail Tube</p><p>If you cannot find the Tube size you're looking for please let us know, email us on: <a href=""mailto:sales@metalhardware.co.uk?Subject=Tube%20Enquiry"">sales@metalhardware.co.uk</a></p>",,
11709,JSSMP07,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;2"" x 1.5mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11710,JSSMP08,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;2"" x 2mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11711,JSSMP09,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;2"" x 3mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11716,JSSMP14,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;3"" x 3mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11704,JSSMP02,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;3/4"" x 1.6mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11717,JSSMP15,Stainless Mirror Handrail Tube,"<p>316 Grade Super Mirror Polished Stainless Steel &oslash;4"" x 3mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>",,
11712,JSSMP10,Stainless Mirror Handrail Tube,<p>316 Grade Super Mirror Polished Stainless Steel &oslash;42.4mm x 2mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>,,
11715,JSSMP13,Stainless Mirror Handrail Tube,<p>316 Grade Super Mirror Polished Stainless Steel &oslash;48.3mm x 2.5mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>,,
11714,JSSMP12,Stainless Mirror Handrail Tube,<p>316 Grade Super Mirror Polished Stainless Steel &oslash;48.3mm x 2mm Handrail Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>,,
11719,JSSMP17,Stainless Mirror Oval Tube,<p>316 Grade Super Mirror Polished Stainless Steel 30.5mm x 17.5mm x 1.5mm Oval Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>,,
11718,JSSMP16,Stainless Mirror Oval Tube,<p>316 Grade Super Mirror Polished Stainless Steel 39.5mm x 20mm x 1.5mm Oval Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>,,
11720,JSSMP18,Stainless Mirror Oval Tube,<p>316 Grade Super Mirror Polished Stainless Steel 47mm x 25mm x 1.5mm Oval Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>,,
11721,JSSMP19,Stainless Mirror Oval Tube,<p>316 Grade Super Mirror Polished Stainless Steel 61mm x 37mm x 1.5mm Oval Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>,,
11722,JSSMP20,Stainless Mirror Flat Oval Tube,<p>316 Grade Super Mirror Polished Stainless Steel 68mm x 22mm x 3mm Flat Oval Tube</p><p>Please note that the longest length that we will dispatch is 3m long. If you order more than this we will cut the tube into pieces suitable for shipping</p>,,
60,JSAC01,Bruce Anchor,<p>316 Mirror Polished Bruce Anchor. Can also be called a claw anchor.</p><p>This anchor is cast a one solid unit and sets effortlessly and holds in a variety of sea beds and stows easily on the bow roller of most boats</p>,,
83,JSAF01,Danforth Anchor,"<p>316 Mirror Polished Danforth anchor. Also called a fluke anchor</p><p>This style of anchor has been names ""The Worlds Best Anchor"" by many boaters and respected by more marine experts than any other anchor.</p><p>The large flat plates help it to dig into the sea bed</p>",,
71,JSAD01,Grapnel Anchor,"<p>316 Mirror Polished Folding Grapnel Anchor.</p><p>Great where space is at a premium, this anchor folds and unfolds effortlessly for easy storage on a boat or a dinghy</p>",,
1145,JSNR03,Rain Chain Bar Fixing,"<p>316 Stainless Steel Rain Chain Bar Fixing.</p>
<p>This bar is used to fix our rain chain into place on the existing gutter.</p>",,
1144,JSNR02,Rain Chain Reducing Funnel,"<p>316 Stainless Steel Rain Chain Reducing Funnel.</p>
<p>We require the dimension X from the CAD drawing to supply, please put this in the order comments. Once ordered we will send a drawing by email for you to confirm the final sizes before we proceed to manufacture</p>",,
1143,JSNR01,Rain Chain,"<p>316 Stainless Steel Rain Chain.</p>
<p>The chain will be supplied in the metre lengths of the required quantity</p>
<p>A perfect alternative to a PVC downpipe.</p>",,
1104,JSLR06,6mm Glass Rubber Insert for Glass Clamps,"<p>6mm Glass Rubber Insert for Glass Clamps.</p>
<p>These rubbers change our D Glass Clamps from suiting 10mm glass to 6mm glass.</p>",,
1103,JSLR08,8mm Glass Rubber Insert for Glass Clamps,"<p>8mm Glass Rubber Insert for Glass Clamps.</p>
<p>These rubbers change our D Glass Clamps from suiting 10mm glass to 8mm glass.</p>",,
681,JSU01,Stainless Steel Degreasing Agent,<p>A very efficient degreasing agent for stainless steel surfaces.</p>,,
70,JSAC11,Corkscrew Ground Anchor,<p>A4-AISI 316 Corkscrew anchor.</p><p>Great for use with tents or temporary structures and comes with a handle and swivel ring to attach to.</p>,,
56,JS3B08,Cross Wire Rope Clip,<p>A4-AISI 316 Cross wire rope clip</p><p>Great for fixing 2 runs of wire together at 90&deg; to each other.</p><p>Could be used to create trellis systems with a quick and easy allen key installation</p><p><strong>Please note that this product has not been load tested</strong></p>,,
905,JSZD09,D Shackle with Allen Key Flush Pin,"<p>A4-AISI 316 D Shackle, perfect for use where durability and toughness are required.</p> <p>This product has a Allen Key pin which finishes flush with the shackle and can also be fully removed from the shackle.</p><p>Being 316 grade this shackle is perfect for boats or other uses</p><p><strong>Please note that this product hasn't been load tested</strong></p>",,
898,JSZD02,D Shackle with Screw Collar Pin,"<p>A4-AISI 316 D Shackle, perfect for use where durability and toughness are required.</p> <p>This product has a screw pin which can be fully removed from the shackle.</p><p>Being 316 grade this shackle is perfect for boats or other uses </p><p><strong>Please note that this product hasn't been load tested</strong></p>",,
897,JSZD01,D Shackle with Screw Collar Pin,"<p>A4-AISI 316 D Shackle, perfect for use where durability and toughness are required.</p> <p>This product has a screw pin which can be fully removed from the shackle.</p><p>Being 316 grade this shackle is perfect for boats or other uses.</p><p><strong>Please note that this product hasn't been load tested</strong></p>",,
899,JSZD03,D Shackle with Screw Collar Pin,"<p>A4-AISI 316 D Shackle, perfect for use where durability and toughness are required.</p> <p>This product has a screw pin which can be fully removed from the shackle.</p><p>Being 316 grade this shackle is perfect for boats or other uses</p><p><strong>Please note that this product hasn't been load tested</strong></p>",,
